Vac,Amp ac,pwr W
237.6,0.144,16.2
237.5,0.144,16.2
237.2,0.144,16
237.3,0.146,16.2
237.4,0.145,16
237.4,0.144,16.3
237.4,0.145,16.1
237.4,0.145,16.1
237.4,0.144,16.1
237.5,0.146,16.3
237.5,0.144,16
237.4,0.144,16.1
237.3,0.144,16
237,0.145,16
237.2,0.147,16.2
237.1,0.143,16
237,0.144,16.1
236.9,0.143,16
237.2,0.147,16
236.7,0.143,15.9
236.8,0.145,16
236.7,0.144,15.9
236.8,0.144,16.2
236.8,0.143,15.9
237.2,0.145,16.4
236.7,0.146,15.8
236.8,0.144,16.1
237.3,0.142,16.6
237.1,0.145,16.2
237.1,0.144,16.1
237.6,0.146,16.3
237.5,0.144,15.9
237.5,0.144,16
236.9,0.143,15.8
236.9,0.144,16
237,0.143,16
236.9,0.142,15.9
237,0.144,15.9
237.3,0.144,16.1
237.1,0.143,16
237.2,0.143,16.1
237.3,0.143,16
237.2,0.148,15.9
237.5,0.144,16
237.1,0.144,15.8
237.4,0.145,16.3
237.5,0.143,15.8
237.2,0.143,15.8
237.2,0.145,16
237.2,0.143,16
237.7,0.146,16.3
237.8,0.143,16.2
237.6,0.144,16.1
237.7,0.145,16.1
237.7,0.144,16
237.7,0.144,16.2
237.8,0.145,16.1
237.7,0.206,16.1
237.8,0.197,23.7
237.8,0.196,23.7
237.8,0.197,23.7
237.9,0.145,18.1
237.9,0.144,16.1
238,0.145,16.1
237.8,0.143,16.1
237.7,0.144,16
237.5,0.144,16
237.8,0.144,16.2
237.8,0.144,16
237.8,0.193,17.7
237.6,0.196,23.5
237.6,0.169,22.6
237.7,0.144,15.9
237.8,0.143,16.1
236.6,0.756,28.3
236.8,0.641,109.2
236.7,0.693,115.6
236.7,0.76,118.5
236.4,0.909,144.8
236.3,1.08,171.1
236,1.158,197
235.9,1.287,218
235.6,1.323,230
235.4,1.587,250
235,1.717,283
234.9,1.844,309.6
234.7,1.941,336.7
234.4,2.074,365.1
234.1,2.206,394.4
233.8,2.351,424.4
233.3,2.449,439.2
232.9,2.563,445
232.7,2.663,519.4
232.6,2.758,550.5
232.3,2.808,558.1
232.3,2.856,568.3
232.1,2.877,578
231.9,2.985,598.2
231.7,3.021,614.6
231.5,3.054,622.4
231.3,3.079,626.2
231.3,3.11,634.3
231.2,3.114,639.8
231.3,3.117,641.1
231.4,3.117,643
231.5,3.089,634.2
231.6,3.07,629.9
231.6,3.062,626.9
231.4,3.06,624.8
231.6,3.049,623.4
231.6,3.041,620.9
231.6,3.029,619.8
231.8,3.022,618
